TAZ,TAD,OldDistric,County,District,New DistrictName
222.0,94.0,2.0,Pierce,10,South Pierce
223.0,94.0,2.0,Pierce,10,South Pierce
224.0,94.0,2.0,Pierce,10,South Pierce
225.0,94.0,2.0,Pierce,10,South Pierce
226.0,94.0,2.0,Pierce,10,South Pierce
227.0,94.0,2.0,Pierce,10,South Pierce
228.0,94.0,2.0,Pierce,10,South Pierce
229.0,94.0,2.0,Pierce,10,South Pierce
230.0,94.0,2.0,Pierce,10,South Pierce
231.0,94.0,2.0,Pierce,10,South Pierce
232.0,94.0,2.0,Pierce,10,South Pierce
233.0,103.0,2.0,Pierce,10,South Pierce
234.0,103.0,2.0,Pierce,10,South Pierce
235.0,94.0,2.0,Pierce,10,South Pierce
236.0,94.0,2.0,Pierce,10,South Pierce
237.0,94.0,2.0,Pierce,10,South Pierce
238.0,94.0,2.0,Pierce,10,South Pierce
239.0,94.0,2.0,Pierce,10,South Pierce
240.0,94.0,2.0,Pierce,10,South Pierce
241.0,94.0,2.0,Pierce,10,South Pierce
242.0,94.0,2.0,Pierce,10,South Pierce
243.0,94.0,2.0,Pierce,10,South Pierce
244.0,94.0,2.0,Pierce,10,South Pierce
245.0,94.0,2.0,Pierce,10,South Pierce
246.0,94.0,2.0,Pierce,10,South Pierce
247.0,94.0,2.0,Pierce,10,South Pierce
248.0,104.0,2.0,Pierce,10,South Pierce
249.0,104.0,2.0,Pierce,10,South Pierce
250.0,104.0,2.0,Pierce,10,South Pierce
251.0,104.0,2.0,Pierce,10,South Pierce
252.0,104.0,2.0,Pierce,10,South Pierce
253.0,104.0,2.0,Pierce,10,South Pierce
254.0,104.0,2.0,Pierce,10,South Pierce
255.0,104.0,2.0,Pierce,10,South Pierce
256.0,104.0,2.0,Pierce,10,South Pierce
257.0,104.0,2.0,Pierce,10,South Pierce
258.0,104.0,2.0,Pierce,10,South Pierce
259.0,104.0,2.0,Pierce,10,South Pierce
260.0,104.0,2.0,Pierce,10,South Pierce
261.0,104.0,2.0,Pierce,10,South Pierce
262.0,104.0,2.0,Pierce,10,South Pierce
263.0,104.0,2.0,Pierce,10,South Pierce
264.0,104.0,2.0,Pierce,10,South Pierce
265.0,104.0,2.0,Pierce,10,South Pierce
266.0,104.0,2.0,Pierce,10,South Pierce
267.0,104.0,2.0,Pierce,10,South Pierce
268.0,104.0,2.0,Pierce,10,South Pierce
269.0,104.0,2.0,Pierce,10,South Pierce
270.0,103.0,2.0,Pierce,10,South Pierce
271.0,103.0,2.0,Pierce,10,South Pierce
272.0,103.0,2.0,Pierce,10,South Pierce
273.0,103.0,2.0,Pierce,10,South Pierce
274.0,103.0,2.0,Pierce,10,South Pierce
275.0,103.0,2.0,Pierce,10,South Pierce
276.0,103.0,2.0,Pierce,10,South Pierce
277.0,103.0,2.0,Pierce,10,South Pierce
278.0,103.0,2.0,Pierce,10,South Pierce
279.0,103.0,2.0,Pierce,10,South Pierce
280.0,103.0,2.0,Pierce,10,South Pierce
281.0,103.0,2.0,Pierce,10,South Pierce
282.0,104.0,2.0,Pierce,10,South Pierce
283.0,104.0,2.0,Pierce,10,South Pierce
284.0,104.0,2.0,Pierce,10,South Pierce
285.0,104.0,2.0,Pierce,10,South Pierce
286.0,104.0,2.0,Pierce,10,South Pierce
287.0,104.0,2.0,Pierce,10,South Pierce
288.0,104.0,2.0,Pierce,10,South Pierce
289.0,90.0,3.0,Pierce,8,Tacoma
290.0,111.0,2.0,Pierce,10,South Pierce
291.0,99.0,1.0,Pierce,10,South Pierce
292.0,99.0,1.0,Pierce,10,South Pierce
293.0,99.0,1.0,Pierce,10,South Pierce
294.0,99.0,1.0,Pierce,10,South Pierce
295.0,99.0,1.0,Pierce,10,South Pierce
296.0,99.0,1.0,Pierce,10,South Pierce
297.0,99.0,1.0,Pierce,10,South Pierce
298.0,99.0,1.0,Pierce,10,South Pierce
299.0,99.0,1.0,Pierce,10,South Pierce
300.0,94.0,2.0,Pierce,10,South Pierce
301.0,94.0,2.0,Pierce,10,South Pierce
302.0,94.0,2.0,Pierce,10,South Pierce
303.0,94.0,2.0,Pierce,10,South Pierce
304.0,94.0,2.0,Pierce,10,South Pierce
305.0,94.0,2.0,Pierce,10,South Pierce
306.0,94.0,2.0,Pierce,10,South Pierce
307.0,94.0,2.0,Pierce,10,South Pierce
308.0,94.0,2.0,Pierce,10,South Pierce
309.0,94.0,2.0,Pierce,10,South Pierce
310.0,94.0,2.0,Pierce,10,South Pierce
311.0,94.0,2.0,Pierce,10,South Pierce
312.0,94.0,2.0,Pierce,10,South Pierce
313.0,94.0,2.0,Pierce,10,South Pierce
314.0,95.0,2.0,Pierce,10,South Pierce
315.0,94.0,2.0,Pierce,10,South Pierce
316.0,94.0,2.0,Pierce,10,South Pierce
317.0,94.0,2.0,Pierce,10,South Pierce
318.0,94.0,2.0,Pierce,10,South Pierce
319.0,94.0,2.0,Pierce,10,South Pierce
320.0,111.0,2.0,Pierce,10,South Pierce
321.0,95.0,2.0,Pierce,10,South Pierce
322.0,93.0,3.0,Pierce,8,Tacoma
323.0,93.0,3.0,Pierce,8,Tacoma
324.0,93.0,3.0,Pierce,8,Tacoma
325.0,93.0,3.0,Pierce,8,Tacoma
326.0,93.0,3.0,Pierce,8,Tacoma
327.0,93.0,3.0,Pierce,8,Tacoma
328.0,93.0,3.0,Pierce,8,Tacoma
329.0,93.0,3.0,Pierce,8,Tacoma
330.0,93.0,3.0,Pierce,8,Tacoma
331.0,93.0,3.0,Pierce,8,Tacoma
332.0,93.0,3.0,Pierce,8,Tacoma
333.0,93.0,3.0,Pierce,8,Tacoma
334.0,93.0,3.0,Pierce,8,Tacoma
335.0,93.0,3.0,Pierce,8,Tacoma
336.0,93.0,3.0,Pierce,8,Tacoma
337.0,93.0,2.0,Pierce,8,Tacoma
338.0,93.0,2.0,Pierce,8,Tacoma
339.0,93.0,3.0,Pierce,8,Tacoma
340.0,92.0,3.0,Pierce,8,Tacoma
341.0,92.0,3.0,Pierce,8,Tacoma
342.0,92.0,3.0,Pierce,8,Tacoma
343.0,92.0,3.0,Pierce,8,Tacoma
344.0,92.0,3.0,Pierce,8,Tacoma
345.0,92.0,3.0,Pierce,8,Tacoma
346.0,92.0,3.0,Pierce,8,Tacoma
347.0,92.0,3.0,Pierce,8,Tacoma
348.0,92.0,3.0,Pierce,8,Tacoma
349.0,92.0,3.0,Pierce,8,Tacoma
350.0,92.0,3.0,Pierce,8,Tacoma
351.0,92.0,3.0,Pierce,8,Tacoma
352.0,92.0,3.0,Pierce,8,Tacoma
353.0,92.0,3.0,Pierce,8,Tacoma
354.0,92.0,3.0,Pierce,8,Tacoma
355.0,92.0,3.0,Pierce,8,Tacoma
356.0,92.0,3.0,Pierce,8,Tacoma
357.0,92.0,3.0,Pierce,8,Tacoma
358.0,92.0,3.0,Pierce,8,Tacoma
359.0,92.0,3.0,Pierce,8,Tacoma
360.0,92.0,3.0,Pierce,8,Tacoma
361.0,92.0,3.0,Pierce,8,Tacoma
362.0,92.0,3.0,Pierce,8,Tacoma
363.0,92.0,3.0,Pierce,8,Tacoma
364.0,92.0,3.0,Pierce,8,Tacoma
365.0,92.0,3.0,Pierce,8,Tacoma
366.0,92.0,3.0,Pierce,8,Tacoma
367.0,92.0,3.0,Pierce,8,Tacoma
368.0,92.0,3.0,Pierce,8,Tacoma
369.0,92.0,3.0,Pierce,8,Tacoma
370.0,92.0,3.0,Pierce,8,Tacoma
371.0,92.0,3.0,Pierce,8,Tacoma
372.0,93.0,3.0,Pierce,8,Tacoma
373.0,93.0,3.0,Pierce,8,Tacoma
374.0,93.0,3.0,Pierce,8,Tacoma
375.0,93.0,3.0,Pierce,8,Tacoma
376.0,92.0,3.0,Pierce,8,Tacoma
377.0,92.0,3.0,Pierce,8,Tacoma
378.0,92.0,3.0,Pierce,8,Tacoma
379.0,92.0,3.0,Pierce,8,Tacoma
380.0,92.0,3.0,Pierce,8,Tacoma
381.0,92.0,3.0,Pierce,8,Tacoma
382.0,92.0,3.0,Pierce,8,Tacoma
383.0,92.0,3.0,Pierce,8,Tacoma
384.0,92.0,3.0,Pierce,8,Tacoma
385.0,92.0,3.0,Pierce,8,Tacoma
386.0,92.0,3.0,Pierce,8,Tacoma
387.0,92.0,3.0,Pierce,8,Tacoma
388.0,92.0,3.0,Pierce,8,Tacoma
389.0,92.0,3.0,Pierce,8,Tacoma
390.0,92.0,3.0,Pierce,8,Tacoma
391.0,92.0,3.0,Pierce,8,Tacoma
392.0,92.0,3.0,Pierce,8,Tacoma
393.0,92.0,3.0,Pierce,8,Tacoma
394.0,93.0,3.0,Pierce,8,Tacoma
395.0,93.0,3.0,Pierce,8,Tacoma
396.0,92.0,3.0,Pierce,8,Tacoma
397.0,92.0,3.0,Pierce,8,Tacoma
398.0,90.0,3.0,Pierce,8,Tacoma
399.0,90.0,3.0,Pierce,8,Tacoma
400.0,90.0,3.0,Pierce,8,Tacoma
401.0,90.0,3.0,Pierce,8,Tacoma
402.0,90.0,3.0,Pierce,8,Tacoma
403.0,91.0,3.0,Pierce,8,Tacoma
404.0,91.0,3.0,Pierce,8,Tacoma
405.0,91.0,3.0,Pierce,8,Tacoma
406.0,90.0,3.0,Pierce,8,Tacoma
407.0,90.0,3.0,Pierce,8,Tacoma
408.0,90.0,3.0,Pierce,8,Tacoma
409.0,90.0,3.0,Pierce,8,Tacoma
410.0,90.0,3.0,Pierce,8,Tacoma
411.0,90.0,3.0,Pierce,8,Tacoma
412.0,90.0,3.0,Pierce,8,Tacoma
413.0,91.0,3.0,Pierce,8,Tacoma
414.0,91.0,3.0,Pierce,8,Tacoma
415.0,91.0,3.0,Pierce,8,Tacoma
416.0,91.0,3.0,Pierce,8,Tacoma
417.0,91.0,3.0,Pierce,8,Tacoma
418.0,91.0,3.0,Pierce,8,Tacoma
419.0,91.0,3.0,Pierce,8,Tacoma
420.0,91.0,3.0,Pierce,8,Tacoma
421.0,91.0,3.0,Pierce,8,Tacoma
422.0,91.0,3.0,Pierce,8,Tacoma
423.0,91.0,3.0,Pierce,8,Tacoma
424.0,92.0,3.0,Pierce,8,Tacoma
425.0,92.0,3.0,Pierce,8,Tacoma
426.0,91.0,3.0,Pierce,8,Tacoma
427.0,91.0,3.0,Pierce,8,Tacoma
428.0,91.0,3.0,Pierce,8,Tacoma
429.0,91.0,3.0,Pierce,8,Tacoma
430.0,91.0,3.0,Pierce,8,Tacoma
431.0,91.0,3.0,Pierce,8,Tacoma
432.0,90.0,3.0,Pierce,8,Tacoma
433.0,90.0,3.0,Pierce,8,Tacoma
434.0,90.0,3.0,Pierce,8,Tacoma
435.0,90.0,3.0,Pierce,8,Tacoma
436.0,90.0,3.0,Pierce,8,Tacoma
437.0,90.0,3.0,Pierce,8,Tacoma
438.0,91.0,3.0,Pierce,8,Tacoma
439.0,91.0,3.0,Pierce,8,Tacoma
440.0,91.0,3.0,Pierce,8,Tacoma
441.0,91.0,3.0,Pierce,8,Tacoma
442.0,91.0,3.0,Pierce,8,Tacoma
443.0,91.0,3.0,Pierce,8,Tacoma
444.0,91.0,3.0,Pierce,8,Tacoma
445.0,91.0,3.0,Pierce,8,Tacoma
446.0,92.0,3.0,Pierce,8,Tacoma
447.0,92.0,3.0,Pierce,8,Tacoma
448.0,92.0,3.0,Pierce,8,Tacoma
449.0,91.0,3.0,Pierce,8,Tacoma
450.0,91.0,3.0,Pierce,8,Tacoma
451.0,91.0,3.0,Pierce,8,Tacoma
452.0,91.0,3.0,Pierce,8,Tacoma
453.0,91.0,3.0,Pierce,8,Tacoma
454.0,91.0,3.0,Pierce,8,Tacoma
455.0,91.0,3.0,Pierce,8,Tacoma
456.0,91.0,3.0,Pierce,8,Tacoma
457.0,90.0,3.0,Pierce,8,Tacoma
458.0,90.0,3.0,Pierce,8,Tacoma
459.0,90.0,3.0,Pierce,8,Tacoma
460.0,90.0,3.0,Pierce,8,Tacoma
461.0,90.0,3.0,Pierce,8,Tacoma
462.0,90.0,3.0,Pierce,8,Tacoma
463.0,90.0,3.0,Pierce,8,Tacoma
464.0,90.0,3.0,Pierce,8,Tacoma
465.0,90.0,3.0,Pierce,8,Tacoma
466.0,90.0,3.0,Pierce,8,Tacoma
467.0,92.0,3.0,Pierce,8,Tacoma
468.0,92.0,3.0,Pierce,8,Tacoma
469.0,90.0,3.0,Pierce,8,Tacoma
470.0,92.0,3.0,Pierce,8,Tacoma
471.0,92.0,3.0,Pierce,8,Tacoma
472.0,92.0,3.0,Pierce,8,Tacoma
473.0,92.0,3.0,Pierce,8,Tacoma
474.0,92.0,3.0,Pierce,8,Tacoma
475.0,92.0,3.0,Pierce,8,Tacoma
476.0,92.0,3.0,Pierce,8,Tacoma
477.0,92.0,3.0,Pierce,8,Tacoma
478.0,92.0,3.0,Pierce,8,Tacoma
479.0,92.0,3.0,Pierce,8,Tacoma
480.0,92.0,3.0,Pierce,8,Tacoma
481.0,92.0,3.0,Pierce,8,Tacoma
482.0,92.0,3.0,Pierce,8,Tacoma
483.0,92.0,3.0,Pierce,8,Tacoma
484.0,92.0,3.0,Pierce,8,Tacoma
485.0,92.0,3.0,Pierce,8,Tacoma
486.0,92.0,3.0,Pierce,8,Tacoma
487.0,92.0,3.0,Pierce,8,Tacoma
488.0,92.0,3.0,Pierce,8,Tacoma
489.0,92.0,3.0,Pierce,8,Tacoma
490.0,92.0,3.0,Pierce,8,Tacoma
491.0,92.0,3.0,Pierce,8,Tacoma
492.0,92.0,3.0,Pierce,8,Tacoma
493.0,92.0,3.0,Pierce,8,Tacoma
494.0,92.0,3.0,Pierce,8,Tacoma
495.0,92.0,3.0,Pierce,8,Tacoma
496.0,92.0,3.0,Pierce,8,Tacoma
497.0,92.0,3.0,Pierce,8,Tacoma
498.0,92.0,3.0,Pierce,8,Tacoma
499.0,92.0,3.0,Pierce,8,Tacoma
500.0,92.0,3.0,Pierce,8,Tacoma
501.0,92.0,3.0,Pierce,8,Tacoma
502.0,92.0,3.0,Pierce,8,Tacoma
503.0,92.0,3.0,Pierce,8,Tacoma
504.0,93.0,3.0,Pierce,8,Tacoma
505.0,92.0,3.0,Pierce,8,Tacoma
506.0,92.0,3.0,Pierce,8,Tacoma
507.0,97.0,3.0,Pierce,8,Tacoma
508.0,97.0,3.0,Pierce,8,Tacoma
509.0,92.0,3.0,Pierce,8,Tacoma
510.0,92.0,3.0,Pierce,8,Tacoma
511.0,92.0,3.0,Pierce,8,Tacoma
512.0,92.0,3.0,Pierce,8,Tacoma
513.0,97.0,3.0,Pierce,8,Tacoma
514.0,97.0,3.0,Pierce,8,Tacoma
515.0,92.0,3.0,Pierce,8,Tacoma
516.0,92.0,3.0,Pierce,8,Tacoma
517.0,92.0,3.0,Pierce,8,Tacoma
518.0,92.0,3.0,Pierce,8,Tacoma
519.0,92.0,3.0,Pierce,8,Tacoma
520.0,92.0,3.0,Pierce,8,Tacoma
521.0,92.0,3.0,Pierce,8,Tacoma
522.0,97.0,3.0,Pierce,8,Tacoma
523.0,96.0,1.0,Pierce,10,South Pierce
524.0,97.0,3.0,Pierce,8,Tacoma
525.0,97.0,3.0,Pierce,8,Tacoma
526.0,97.0,3.0,Pierce,8,Tacoma
527.0,97.0,3.0,Pierce,8,Tacoma
528.0,97.0,3.0,Pierce,8,Tacoma
529.0,97.0,3.0,Pierce,8,Tacoma
530.0,97.0,3.0,Pierce,8,Tacoma
531.0,97.0,3.0,Pierce,8,Tacoma
532.0,97.0,3.0,Pierce,8,Tacoma
533.0,97.0,3.0,Pierce,8,Tacoma
534.0,97.0,3.0,Pierce,8,Tacoma
535.0,97.0,3.0,Pierce,8,Tacoma
536.0,97.0,3.0,Pierce,8,Tacoma
537.0,97.0,3.0,Pierce,8,Tacoma
538.0,97.0,3.0,Pierce,8,Tacoma
539.0,97.0,3.0,Pierce,8,Tacoma
540.0,97.0,3.0,Pierce,8,Tacoma
541.0,97.0,3.0,Pierce,8,Tacoma
542.0,97.0,3.0,Pierce,8,Tacoma
543.0,97.0,3.0,Pierce,8,Tacoma
544.0,97.0,3.0,Pierce,8,Tacoma
545.0,97.0,3.0,Pierce,8,Tacoma
546.0,97.0,3.0,Pierce,8,Tacoma
547.0,97.0,3.0,Pierce,8,Tacoma
548.0,97.0,3.0,Pierce,8,Tacoma
549.0,100.0,1.0,Pierce,10,South Pierce
550.0,100.0,1.0,Pierce,10,South Pierce
551.0,100.0,1.0,Pierce,10,South Pierce
552.0,97.0,3.0,Pierce,8,Tacoma
553.0,97.0,3.0,Pierce,8,Tacoma
554.0,93.0,3.0,Pierce,8,Tacoma
555.0,93.0,3.0,Pierce,8,Tacoma
556.0,93.0,3.0,Pierce,8,Tacoma
